,Verification Status,review,sentiment
1162,Trip Verified,amman to london appalling service both on the flight and subsequent customer service we are strict vegans so prebooked vegan meals for our flight meals were delivered as usual and had the vegan slip on them but as i was about to start eating i noticed that i had been given butter this made me doubt the authenticity of the meal when i called the staff over she had no idea what a vegan was informing me that there was no meat in it i had to explain to her what a vegan was ie no dairy or eggs it turns out that the so called vegan meal had milk and egg in it needless to say we did not eat our meals and they had no vegan meals shortly after they came around with the drinkstrolley so we asked for a coffee with soya milk the staff to whom i had had to explain what a vegan was said oh i dont think we have that but we have semi skimmed milk i had to reexplain to her that a vegan does not have milk she said she would go and ask when she returned she said we dont provide that sort of thing that was strange because weeks ago on the outbound journey you did so we had no meals no hot drinks and our video screen did not work the customer service that followed from was more appalling they could not care less it took ages to get replies and when i did i was just palmed off after several months of having to write emails i was informed that i had to submit everything by letter as they needed it on paper which was just another way of getting rid of us so we did this after several more weeks they offered us the most pathetic compensation basically the value of the meals that we could not eat in vouchers,negative
1163,Trip Verified,paphos to london gatwick in club europe we had checked before leaving our hotel and realised that the flight was delayed as were many other flights due to bad weather the previous evening in uk we checked in on time only to be advised that there was no lounge available for club europe passengers and if we wanted to use the premium lounge we could pay whilst we appreciate that there may not be a ba lounge it is normal that ba would have an arrangement with the local lounge provider as we have experience at many other airports when travelling in business class we were offered a voucher each due to the delayed flight paphos airport was extremely crowded and having paid good money to travel in business class we were very disappointed with ba that no lounge access was available the flight itself was ok although two hours late the cabin crew provided good service and the meal service reasonable my wife chose the chilli con carne and i chose the roasted chicken both were a little dry on arrival at gatwick at we were through passport control quickly and then waited minutes for the cases to be delivered again very poor show ba has some great assets particularly the cabin crew but we felt let down by the ground services at both end of this flight like us many travellers like to travel with a full service airline and in this case ba were lacking,positive
1164,Trip Verified,gatwick to paphos in club europe we travelled on the first saturday of the school holidays and whilst gatwick was busy the check in for business class was not to bad we expected the lounge to be busy but there was plenty of free seats the flight boarded slightly late but we were not long in the take off queue we are used the bas club europe offering and whilst would prefer a little more leg room the flight was reasonably comfortable service from the cabin crew was good it is nice that ba have gone away from the miniature bottles of wine in club europe and now serve by the glass the meal service was quite good we both chose the chicken curry for the main course which was tasty and not dried out flight arrived minutes ahead of schedule very happy with the service,positive
1165,Trip Verified,new york to nairobi via london flight attendants were wonderful friendly cheery and helpful but the business class seats that face aft cause the passenger to have to crawl over the legs of a sleeping stranger even if you are seated next to a companion there is no easily accessible storage space by the seat even for a bottle of water the ife on the lhrnbo leg reminds me of the game pong in its resolution and food is mediocre at best ba charges to select business class seats for my family of it would have cost over to get assigned seats on the segments,positive
1166,Trip Verified,istanbul to london heathrow the plane itself was old i found the food choices were a joke considering we have to pay for the privilege and we were not allowed to bring our laptops on the plane back had to be checked in for security purposes this meant that when i was at ataturk airport we had no less than separate security checks before check in one after check in and one before getting on the plane because we had no laptop there was no entertainment on board and nothing to do for the hours on the plane norwegian offers free wifi so i could check my phone on the plane british airways need to improve their service levels,positive
1167,Trip Verified,bad service and attitude all round my fiasco was when my flight from london was cancelled due to failure of their systems ba refused to rebook us at the airport instead made to wait over an hour on the phone to customer services which resulted in us being routed to milan via madrid a day later ba are now dragging their heels over reimbursing me travel food and refreshment costs we were stranded at the airport no help to find a hotel zero customer care or empathy premium prices for a ryanair style service,negative
1168,Trip Verified,london to santiago de chile i was flying premium economy with ba and surprised that i got a row seats on the left side for my own the seat was spacious and even with an occupied neighbour seat i would have had enough space to feel very comfortable however lufthansa on the a also y gives a bit more personal space at least it seems to me the seat recline was good as well as the ife system big screen wide choice of programs of which i chose to listen to some bbc concerts the crew didnt impress me but was very friendly and helpful the food was extraordinarily good the chicken i had was very delicious with sufficient food cheese salad dessert the frittata on breakfast wasnt good however i didnt like that they sealed the drinks minutes before the arrival a bit early i had a good experience with ba and would definitely fly again as all the things seat ground service staff were like expected the dinner was way above average premium economy is a good value for money especially on a hrs flight,positive
1169,Trip Verified,flew a now ageing b flight ba to seattle pleasant flight with actually quite decent fillet steak for main meal ok choice of wine beer with meal and greeted with glass of prosecco when boarded comfortable seat but its the old bug bear across with over the legs access to the aisle fortunately we were in the last row so my wife was in the window seat with direct aisle access and we could look at each other and not at a total stranger i know ba are saying that they are introducing direct aisle access for everyone in club class but this cant come soon enough and abreast is not exactly a premium product in the present circumstances is it absolutely terrible in flight entertainment system although it was on demand the aircraft was fitted with a very ancient system blurry old screens awful audio take your own noise reducing headphones and a pretty dreadful choice of movies fas great welcoming and gave good service but the main drawback with ba is their insistence that having paid for a premium service we then have to pay handsomely again to prereserve our seats up to per seat per journey not what i expect from a flag carrier airline we refuse to pay this extortionate sum our choices have been noted on the loyalty card scheme and fortunately we have got seats together so far so although we had quite a pleasant flight to seattle with ba in club if virgin atlantic fly the same route we will choose their upper class over clubworld we can still reserve our seats for free with them,positive
1170,Trip Verified,flew london gatwick to tirana rinas bag drop at gatwick was basically seamless and ba was offering to check in your hand baggage for free the flight was at and the gate was supposed to be shown at am which was oddly specific but as we got closer to that time that just got more and more delayed until we finally got our gate info at around for which boarding had already started boarding was pretty much seamless the cabin crew greeted all the passengers which was nice the legroom was alright perfectly fine for a and and a half hour flight good recline aswell i don t understand why british airways opted for buy on board their free food offering before was perfectly fine although the food offering was just a few sandwiches which were quite expensive and there was no real hot food options just a few of their sandwiches could be served hot flights were on time flights cost around return per person which was quite pricey considering the cheapest option was around half the price so overall it s a good option but if you can find something cheaper then go for it,positive
1171,Trip Verified,london heathrow to murcia and back a few problems at heathrow with the wrong gate being shown ba ground staff didnt seem to care this was an issue but the flights were excellent comfortable and on time i really dont mind paying for the food and drink inflight especially as you can pay using avios murcia airport also a joy small efficient and friendly i will only fly ba on short haul in europe very impressed,positive
1172,Trip Verified,london to amsterdam bas service has gone notably downhill in the past couple of years but tonights experience really takes the biscuit i should now be in amsterdam however i am still writing this from london despite spending over hours on a plane to nowhere we boarded just about on time around only to be told that due to weather there would be a delay of an hour or so shortly after we were told that the routes north of lhr were shut and no planes were taking off about an hour into the ordeal we were told that the airspace had reopened but there would be a minute wait for a slot one more hour in we were told airspace was shut again after hours good news or so we thought we were to be on the move around minutes or so later we did then leave the gate and we were given the safety briefing and taxied out to the runway we were then stopped halfway down the taxiway and told that ams would be shut due to night flight restrictions by the time we would have arrived so our flight wad cancelled we taxied back to the gate where we waited a further minutes for ground staff to become available i must say during this and a quarter odd ordeal the pilot was informative and tried to stay upbeat and the cabin crew were very good the crew gave us the inflight service minus alcohol so we were well fed and watered this is the full extent of my praise though little was i to know that the real disaster was still to come bas ground handling was attrocious we were told to head up to departures for hotel vouchers and rebookings however ba had cancelled around flights and the queues were very lengthy vouchers were being handed out to sleep on the floor of a hotel ballroom because all the rooms were full i have never heard anything like it this is beyond unbelievable no assistance for children elderly and no preferential treatment for connecting passengers or premium passengers as is the norm in this situation further the promised rebooking staff had all gone home i was told to consult the ba app the following morning bas app has rebooked my flights two days later when my trip was for three days total the feature on the app to select a different date for my flights so i can replan my trip for another weekend is broken i guess ill be trying out their call centre in the morning this is all simply appalling we all understand that adverse weather happens but to keep us on a plane for hours when they knew before boarding that there would be delays is not on moreover ba surely know the opening hours of their destination airports why they could not have prioritised the ams flight over flights to hour airports i do not know and as for the ground handling i have never had an experience this bad ba staff themselves were thin on the ground they left most of the work to heathrow staff who admittedly tried their best but hid behind the we dont work for ba excuse ive had a cancelled flight before and yet still wrote the airline involved a glowing review because they genuinely couldnt have handled it better by contrast i dont see how ba could have handled this worse they really are indistinguishable from the budget airlines these days save for the good lounges if you fly business,positive
1173,Trip Verified,aberdeen to abu dhabi via london despite being a gold member of the executive club i try to avoid british airways these days and now ive reminded myself why flight crew dont afford old fashioned courtesy or service im not saying they are rude just that they dont provide a decent level of customer service you get the basics and good luck if you want to grab their attention they walk up and down the aisle without making eye contact no bags at the other end on arrival which i guess you have to live with however the way they deal with it is appalling couldnt care less i feel hr delay on return flights seems ba is unsure if they want to be a budget airline or a true contender,positive
1174,Trip Verified,prague to denver via london i almost missed my flight because at checkin i had to complete some really important papers that took minutes later no one asked me for those papers flight to heathrow was average what you expect from a hour flight at heathrow the security lasted me minutes when i boarded the next the plane a lack of leg room it was less than the flight before the flight then was pretty much okay the food was delicious had pasta with tomato sauce and several times drinks the flight staff was kind and helpful but the plane had no paid wifi no outlets or usb ports the screens were low quality,positive
1175,Trip Verified,seville to gatwick if it wasnt for avios and the fantastic deal that this can make flying ba if you collect them and use executive club for award tickets within europe i would never fly ba given the current product the cabin was old cramped and dirty the cabin crew were abrupt and surly the buyonboard is still a massive bugbear we were on award tickets but think it is unacceptable for food not to be complimentary,negative
1176,Trip Verified,london to amsterdam a delayed ba flight by mins old airplane unhelpful staff delays seem so regular that staff have a casual attitude to delays another terrible show from british airways,negative
1177,Trip Verified,gatwick to barcelona check in efficient and friendly and helpful staff staff very welcoming in lounge and on board flight however the in flight product has deteriorated salad ran out so no food option for business class passengers had to have sandwich seats dirty and no middle seat tray although business class no priority boarding for business passengers really disorganized at boarding calling people by groups and lines becoming mixed up on arrival no bags and trying to get update but no update trying to get update on baggage after hours but no update,positive
1178,Trip Verified,i thought it time ba deserved some compliments given so many negative comments that are common these days i was fortunate to travel hong kong to london return in premium economy recently being able to checkin at the downtown hong kong airport express station is a real bonus as is using the good qantas lounge at hong kong i found the onboard service and operations a lot improved over the last time i flew longhaul with ba the new group boarding sequence system mostly seems to work although a few of the signs are hidden or bent in the wrong direction so some people had no idea what was going on but which helped me keep busy assisting people while waiting at the gates food and wine onboard was quite good and overall service excellent including recognising my one world status ba has the best inflight magazine with articles actually worth reading and also has some very clever inflight programs i also particularly welcomed the excellent service from goswami who found me a window seat for lhrhkg when returning and when using the first lounge at heathrow allin all made for an enjoyable experience a rarity these days,positive
1179,Trip Verified,faro to gatwick club check in was fairly quick and the priority security worked well at faro ba now do have use of a rd party lounge here which sadly is absolutely awful it feels like an average office canteen with no comfortable chairs and only just enough seats at all for everyone there it s really very tiny and is the only lounge for all the airline as well as lounge schemes like priority pass etc considering this is the only lounge in a massive brand new airport it s a pathetic offering food was minimal and basic drinks were pretty limited and they barely ever had any glasses or plates available whilst ba do provide priority boarding they do not offer any form of priority to enter the gate and there is always a large queue for this once on board i have similar comments to my outbound flight in my opinion they should provide a better welcome a welcome drink and hand out menus prior to take off overall food and drink offering was pretty good on this flight although cabin crew could have been a bit friendlier at one point i dropped one of my headphones and it bounced several rows forward under someone else s seat i was looking around for a while to find it and at no point did the crew offer to help at all instead just looking mildly annoyed that i was temporarily blocking the aisle in order to retrieve it priority disembarkation and baggage at gatwick worked well and it meant we missed all queues at immigration and we landslide really quickly,positive
1180,Trip Verified,gatwick to faro club check in at gatwick is very quick and easy and fastrack security is also very efficient and we were quickly through to the club lounge the lounge itself is really nice spacious enough to have plenty of seating available and different types of seating but it also feels very cosy and welcoming the lounge was clean and tidy and there were pretty good food options available including some lovely scones with clotted cream and jam as always the drinks offering in ba lounges was great the new boarding by group seems to be working quite well and ba staff are finally enforcing the priority system long may it continue on board was the usual club europe offering which while not exactly luxury is standard for europe now and for a hour flight is fine ba don t ever seem to offer a welcome drink on short haul flights which was a shame as there is plenty of time after the initial boarding rush is complete there was also no personal welcome or greeting of any kind it s a quick and simple gesture that should be done on any decent carrier i would also like to see menus handed out before take off which could be done at the same time as a welcome the food and drink offering on board is reasonable although food was typically over cooked and with sloppy presentation overall a decent enough flight and for a reasonable price but a few small touches would make it feel much better,positive
1181,Trip Verified,jeddah to chicago via london the flight from jeddah to heathrow wasnt as good as i expected ground staff at jeddah some of them were rude also the new baggage restriction for the flights to the uk made the trip uncomfortable i had to check my carryon bag at the gate because my laptop charger and the power bank were there they took my laptop when i dropped my bags and they told me there is no need to take the chargers however the crew were nice and friendly and the food was delicious too the flight from lhr to chicago was full and the crew were helpful and generous i wont fly with ba again until they change their baggage restrictions for the saudi flights,positive
1182,Trip Verified,london to frankfurt i need to fly ba for business frequently as i dont have other choices not only planes are delayed as today but the lounges in heathrow are a joke i dont use them anymore as they are overcrowded and they dont serve proper food just snacks their customer service is horrible and never helps me with any requests their business class in europe is economy class with a free seat next to you,positive
1183,Trip Verified,gatwick to malaga when booking the tickets i realised that by choosing certain flights in club the fare was cheaper than economy once i had added suitcases and pay for food onboard i hadn t flown ba club in europe for a while and was looking forward to it i was nicely impressed my outbound flight was a wetlease by titan but this was the full ba service the crew were very good as they were friendly and polite without being sugary sweet i was very impressed by the quality and quantity of the food together with the selection of drinks the only fault is that on both legs my suitcase did not come out as priority despite being tagged correctly,positive
1184,Trip Verified,bermuda to gatwick usual window and aisle seat taken crew friendly enough but when all meal options had cheese including sandwiches not good when someone can not eat cheese breakfast usual offering ok but not really worth the money paid seats clean and comfortable just feel it is time for ba to offer seats so people do not need to pole vault over other passengers legs to get out from the window seat in the night,positive
1185,Trip Verified,aberdeen to boston via london heathrow i found the seats werent wide enough and leg room was restricted on the way back to london the person in front of me put the seat back as well and this severely decreased and room i had to move also the narrower seats meant that i really had to avoid taking up both arm rests otherwise they were good flights with slightly odd choices but decent food extensive entertainment optionsvariety as well,positive
1186,Trip Verified,london to hamburg baggage selfcheckin was diabolical machines were either slow or not working boarding commenced early resulting in on time departure seat for this short flight was quite comfortable and better than most european carriers however the total lack of any kind of refreshment was poor i dont expect a meal but even a drink of water would have been something crew were friendly and the flight on time,positive
1187,Trip Verified,flew london heathrow to hong kong with british airways flew premium economy and the experience was anything but check yourself in create and scan your own baggage labels and load them onto the conveyors yourself unsurprisingly slow process and waited over an hour for the struggling passengers ahead of us in line hardly a ba service attendant in sight better service with ryanair i hate to say it,negative
1188,Trip Verified,flew to istanbul with british airways on th june at the passportvisa check desk presented printed boarding pass to the ba lady my wife was holding the passports the lady looked at the boarding passes and barked passports as if she did not see my wife holding them second bark do you have a visa third bark show me fourth bark next no smile no hello or good morning hardly any eye contact either if anything the situation was worse at boarding ba recently introduced a boardingbygroupnumber system all such systems need to be policed but there are ways of policing the arrangements some passengers attempted to board before their group number was call when caught by the gate keeper they were told not yet some attempted to board prematurely more than once on the second attempt the staff told them to wait accepting that the system must be monitored ba gate staff should be better trained how to deal with potentially anxious passengers and reminded that not everyone speaks or understands english,positive
1189,Trip Verified,munich to london heathrow with british airways i booked my flight online about months ahead of my planned travel date and thought i would give this airline another try after a bad experience earlier in the year i give full marks to ba on this occasion in most areas of service i arrived at the airport rather stressed as my mobile phone had been stolen in a salzburg coffee shop the checkin agent was very professional and reassuring towards me and entered into banter very willingly he was professional and pleasant and very efficient too the flight was on an a and boarding was managed well and the staff well presented too the cabin crew were welcoming and orderly although there was a delay it was managed well and the cabin crew explained matters as the flight progressed i bought an overpriced tea and felt very comfortable arrival was at a remote stand and then a bus overall a very good experience with ba,positive
1190,Trip Verified,wonderful service on the flight from edinburghflorence on july mainline british airways could learn lots from ba cityflyer and their franchise partner in s africa com air,positive
1191,Trip Verified,london heathrow to manchester it was outrageous of british airways to put me on a standby boarding pass when i checked in at lhr on the i bought paid and the the booking was confirmed two months before the flight date how dare ba do this to me when i was travelling for hours and everything ran like a clock work different airlines until i encountered ba at heathrow checkin and help desk are arrogant rude and are as miserable as hell not even a simple apology for the amount stress they caused me just here is a voucher and wait till minutes before departure to see if you have a seat we were passengers who had the same treatment from ba british airways is a disgrace of an airline because they have a monopoly on the heathrow slots they think they can get a way with such disgraceful service well they are wrong like others i have found an alternative airline i close my review and say i will never ever use british airways again i would rather walk to manchester,negative
1192,Trip Verified,london to madrid lazy seat allocation has led to my husband and i not sitting together i understand i can pay to get a seat i want but other than having a seat next to my husband i don t want any particular seat we are travelling as a pair there are three seats each side of the aisle there will likely be single passengers travelling who have chosen a seat preventing us from sitting together as they don t know what groups are travelling and do t care where they sit ba bothering to do the seat allocations for all the passengers you don t wish to pay for specific seats would avoid this,negative
1193,Trip Verified,luggage broken into no explanation first the good point cabin attendants were very diligent and friendly in business class on ba london to shanghai on june not so good the bizarre seating pattern that allows business class seats across the width of the plane feels cramped and crowded compared to a herringbone arrangement the trust breaker upon arrival in shanghai i was not the only one from ba reporting missing luggage mine arrived days later and the zip locking mechanism had been forced open and damaged beyond repair or further use nothing was missing so was it subject to search as unaccompanied luggage people deserve an answer when luggage arrives in that state ba have not provided any explanation despite queries to customer relations this is not acceptable corporate behaviour like this not only lets down the customer but leaves an impression that betrays and outweighs the efforts made by their own cabin staff,positive
1194,Trip Verified,london to tehran back in august the cabin looked so old and tired i struggle to understand why ba has not updated yet on a lot of their b aircraft the inflight entertainment screen was small with a resolution of something from the s but the selection of movies was alright the meal service commenced and a half hours after taking off and considering this was a night flight most of us were been starving at this point the option i wanted ran out by the time they got to me and i wasnt even sitting in the last rows of the economy section the seats were very uncomfortable a couple hours later there was another drinks service,negative
1195,Trip Verified,pisa to london heathrow having booked and paid for extra leg room seats six months in advance we were unpleasantly surprised to find out that upon checking our booking on the ba website a couple of weeks before flying there had been a change of aircraft our new seats were shown as exit row seats and we therefore assumed that they would be extra leg room but upon boarding we realised that row of an a aircraft is standard seat pitch why didnt ba notify us of a seat change when they knew of this change weeks in advance of our flight once wed boarded we found that there was one extra leg room seat still available which was fortunate because my husband is tall and needs that extra leg room the ba cabin crew did move my husband but said this happens all the time with row it might be an exit row but its not extra leg room,positive
1196,Trip Verified,i recently took a first class flight from london heathrow to las vegas and due to a plane change a number of people where upgraded the plane was not ready for passengers and we boarded minutes late when we boarded things were still not ready and the staff were rushing around the service on the outbound flight was fine but the plane was old and dated the return flight was a disaster the seats were dirty food was like rubber plane was dated seats smelt lauren perrier was not served on takeoff for some reason some new policy apparently and again we had upgraded people in first which is not great when i complained i was offered avios are you serious ba i think there are many other airlines out there with a first class product which is much better than that i experienced on british airways unless a first class ticket on british airways is on sale i would suggest you fly with another airline british airways planes are dirty they have been told a number of times they are dirty it s about time they had a deep clean and remodel the first class it s getting so old it s like club class with a few tweaks,positive
1197,Trip Verified,had four flights in total with this airline first flight from dublin to london on th june was delayed by hours this delay would have meant we missed our connection in heathrow to miami except that plane was also delayed by hrs no reason or apologies we arrived in miami hours behind schedule which took away our only evening there as we were getting a cruise the following morning by the time we arrived we had missed our hotel transfer causing further expense as we had to hail a cab our flights home to dublin via heathrow were fine until we reached dublin and realised they had lost our bag despite assurances it would be delivered to our house later that day it was put on the wrong plane again no apologies given for this inconvenience we are still awaiting the bags arrival and the phone numbers we were given keep ringing out seems like no one cares this was our first and last experience of using ba,positive
1198,Trip Verified,johannesburg to heathrow british airways are not doing us proud i recently flew back from south africa with some sports equipment their web site states that you can take sports equipment as part of your luggage allowance but i was charged to bring my bike back the check in staff were very forceful and abrupt as i had to bring the bike back i had no choice but to pay when i got back i contacted their customer service they are not willing to help also the seats are getting really uncomfortable the food is terrible,negative
1199,Trip Verified,the queue for bag drop was massive and did not move for a good mins a more senior person came and explained it was due to software issues that there was a delay in the bag drop excuses as i saw more staff came afterwards and the queue was moving fine they could have just got more staff there to begin with group boarding was super slow inside the econ cabin the plane seemed very old and wornout the entertainment system took a long time to reboot and they didnt inform the customers about it some of the flight attendants were unprofessional meals were bad for me the dinner was some sort of curry chicken that did not taste good they gave energy bars for breakfast meal on a h mins flight the wifi doesnt exist in the cabin,positive
1200,Trip Verified,british airways changed plane and consequently seating separating family in business class no coordination at airport and apparently not one ba manager at rome airport who i could speak to had to call ba customer service in uk which was a waste of time given bulkhead seats but upon boarding could not take seat as engineers trying to secure cabin divider in changed position failed to do this and left the plane with it unsecured as pilot did not want to miss take off slow advised stewardess but they did not care could not recline seat for fear of cabin divider falling and curtain was in front of seat waste of time paying to go business class with ba they did make us wear a seat belt upon take off so if the bulk head fell we could not get out of the way,negative
1201,Trip Verified,mumbai to edinburgh via london im quite surprised to read the varied reviews as i have always had a great experience with ba in terms of inflight service and airport handling after sales service can be a different experience this flight i arrived a little late at the airport due to transport issues hot and sweaty and the checkin girl was such a blessing she calmed me down reassured me and helped me get through security swiftly i was able to secure a very cheap lastminute upgrade to premium economy and i am so glad i did the service was wonderful we were looked after very well lots of water offered throughout the flight i thought the seat was tremendously spacious and comfortable even for the regular upgrade price rather than seats to the side and rather than in the centre gives you a lot more space the food was ok ive had worse ive had better but i was comfortable a good temperature and had a great choice of films my connecting plane was late leaving heathrow to edinburgh due to bad weather but it was handled very nicely all in all im glad i flew ba for this trip,positive
1202,Trip Verified,mumbai to london heathrow disappointing experience i wouldnt book business class again felt like bad value for money ive flown economy and premium economy before found economy basic and the seat uncomfortable but enjoyed premium economy for the quieter cabin and more space i expected a big step up in business class but really apart from choice of food better seat and a larger entertainment screen i really didnt see an upgrade in comparison to the huge extra cost the staff werent that attentive so i felt like i got one much better meal with alcohol and then was pretty much left alone until an hour before the end of the flight i had one person ask if i needed anything who then brought me the tea i requested the staff were helpful when i saw them but overall what a waste of money i paid an extra for better food on a tray with cutlery really not worth it,positive
1203,Trip Verified,delhi to london having read many negative reviews about british airways i boarded my flight fully expecting to have a bad experience but ended up feeling completely satisfied with all aspects of the flight it is all too easy to glamourise the old days but in its seeming decline british airways is no different to other european airlines as a resident of the netherlands i hear dutch people saying exactly the same about klm their national airline and french friends say the same about air france the onboard service was efficient and friendly if a little lacking in charm the food was more than adequate the inflight entertainment was adequate too im not sure if the extra one pays for economy plus is really worth it in terms of better food but if space and the quietness that comes with a smaller cabin matters then it is worth it when we landed at heathrow a shortage of ground staff meant that we were stuck in the plane for minutes before someone could be found to operate the bridge to let us off those people with connecting flights were naturally beginning to panic but the crew handled the situation admirably they more than rose to the occasion to provide the information and reassurance that passenger were seeking,positive
1204,Trip Verified,when you travel british airways its like you are lucky to be able to be with british airways staff right from the start the check in girl on business told us the flight was closed which was a load of rubbish hour and minutes before the flight she spent ten minutes on the phone to someone to see if it was too late because i need special assistance they didnt have anyone to push my wheelchair so my wife had to do it my wife now very stressed and i arrive at the finger and when we could see that everyone was still there i asked the man on the desk about being closed and he said nonsense my wife says thanks for the unnecessary stress the guys on the desk were great and offered to push my chair which was actually quite a long way the cabin layout has seats across whereas all the other s i have been on have that means they are squeezing in another seat and it is very very narrow the cabin crew knocking my arm every time they passed by of course the is a great aircraft so for me the seat was below my expectation i was also amazed that i had to pay to reserve seats i dont pay anything with other airlines the food was just ok nothing exciting and the choice of films was not that great but then that is all personal choice in my opinion fly with a different airline if you can there are seriously better airlines who dont have snobs working for them,positive
1205,Trip Verified,british airways gets plenty of well deserved kickings but this return flight to gibraltar was faultless on time early arrival in fact smiling friendly crew excellent hot meal and plentiful drinks gatwick lounge is too small really but we found seats ok gibraltar lounge for the dozen or so club passengers is relatively huge,positive
1206,Trip Verified,ba first class is not even that any more starting with the lounge in t this may be an offshoot of the fine concorde room in t but it need not feel like a rural train station poor food average drinks and an indifferent staff do not compare with lh facilities in fra or muc there is no ground assistance and boarding was haphazard fine cornish champagne was offered and happily quaffed the seat was ok but not in the same class as the new ac j class pods and not close to the emirates suites small things like the menu presentation boarding sufficient food there are a lot of seats in f seat comfort ok but nothing special and the toilets small and curiously offering singleply paper the crew were very friendly the service was decent in delivery but poor overall ba your relentless drive to the bottom is catching up with you and your first class product is not worth the name anymore one can only assume that ba are trying to phase it out as they drive any paying passengers to other airlines who place a serious effort to deliver a superb premium product and no wifi,positive
1207,Trip Verified,linate to london the morning of the departure i received an email and a text message from that warned me that my flight had been canceled with no specified reason as an alternative they rerouted me on a night flight to madrid then to palma to arrive the next day in birmingham disappointed of the disservice i called the customer service in england and waited minutes at my expense before being able to speak with an operator and i was offered a flight in the evening at which did not help me to arrive in time to my appointment and therefore declined i had to find the only possible flight that would allow me to get to london in time unfortunately it was a last minute flight with another company that cost me a fortune on top of it since the flight would arrive no longer at heathrow but at stansted i had to pay the taxi more than the agreed amount if i arrived at heathrow british airways did not take responsibility i was not reimbursed the new flight i had to book last minute nor the taxi difference they did not show concern for the inconvenience and the stress caused the worst has been the answer of their customer care saying it was not their responsibility,negative
1208,Trip Verified,flew british airways from jk to london heathrow then connected london galwick to rome bag has been lost for hours no email phone call text update they didn t even answer my email my wife and i have had the same clothes on our backs since we left jfk thank goodness for washing machines we have missed out on events we can t get into certain places due to dress codes we had to wait for a store to open to buy toothbrushes and toothpaste horrible horrible service then we were told our bag would arrive at our hotel at pm yesterday it s almost pm the next day and the bag still isn t here,negative
1209,Trip Verified,i have flown british airways numerous times over many years sadly the experience has deteriorated significantly recently and this flight was particularly poor the staff were offhand and one seemed particularly unhappy to be there the person next to me and i asked for the beef choice but were told that there was none left too little had apparently been loaded there was no apology and we were simply told we needed to make another choice we asked for the fish after some delay we were given our meals but found we had both been given a vegetarian meal i had to walk down to the galley to let them know and was told in a very offhand manner that they must have recorded the wrong choice no apology eventually we received the fish which by then was dry and not enjoyable we were asked for breakfast choices and gave in cards which stated we wanted a light choice minutes before landing we were not given anything the service was really poor and as usual the business seats were falling behind the quality and comfort found in other airlines ba will really have to improve their product to continue to attract premium passengers,negative
1210,Trip Verified,we can not fault the new club world food and service on the outbound and inbound it was great the food was first class the presentation very attractive the quality very high havent had such tender beef on any airline before or in a restaurant for that matter lately and the new style crockeryglass wear stylishly upmarket its worlds away from what it used to be both crews were attentive friendly and cheerful really liked the way the food came out on a trolley and you could pick and choose what you liked and mix and match if you wanted to you now get a light day blanket a padded blanket for night and a mattress protector type thing to put on the base of your seat much better than the thin always static blanket you used to get the pillow is larger and tons better than before cant believe how fast the time flew and how well we felt on landing both in seattle and once home again we do mainly club europe flights shame as if this level of service and food is maintained the new club world will be a great success,positive
1211,Trip Verified,very disappointing experience flew out on a series should be scrapped departed late loaded aircraft ready for push back no ac temperature was excessively hot all flight no cool air personal media system broken split screen food quality diabolical moody flight attendants ran out of hand soap return flight on a left on time better service meal quality and crew definitely made up for outward flight been flying ba for over years probably would be a last choice in future sad to see,negative
1212,Trip Verified,calgary to london cabin full overhead locker full of blankets seat excruciatingly uncomfortable and headphone that worked intermittently take off about local time evening meal appeared at about local time menu listed seasonal salad leaf one small piece of lettuce and cucumber braised short rib of beef or mushroom ravioli pasta with butter pecan cake only beef meals available choice was either pasta or to go hungry i chose the latter and dined on a small bottle of water and half a cup of tomato juice breakfast a light refreshment including juice tea and coffee consisted of a cream cheese roll and oat biscuit and half a cup of warm tea some minutes later we paid extra for world traveller plus but i consider that we were conned customer services have been useless and on the second time of writing i received the following response thanks for coming back to us i completely understand why you re disappointed we couldn t offer you our full catering service especially as on such a long haul flight i hope our staff explained our catering supplier had an unexpected problem with the systems they use to deliver their catering this meant they couldn t provide a full meal service and i absolutely agree this isn t what you would expect when you travel with us i m sorry we ve let you down that is it thank you ba this is the last time we will ever book long haul with you,negative
